4/21/2021 23:59,1385020522371580000.00,Bropunzel,"b'RT @Marina_Ibrahims: Main bola dalam hujan boleh, jamuan berbuka puasa boleh.\n\nCuba kita bayangkan kalau kesungguhan sama digunakan utk men\xe2\x80\xa6'"
4/21/2021 23:59,1385020442029610000.00,اڤن شمسودين,b'RT @ammardathinker: Kena naikkan dulu Pelan Bioteknologi Pak Lah. Dulu dah pelan bagus dah pastu pi tarik balik \xf0\x9f\x98\xaa Kalau tak tarik silap har\xe2\x80\xa6'
4/21/2021 23:59,1385020409804820000.00,Kev9639,"b'RT @wankhairulnizam: Ni menakutkan. Parlimen tutup. Siapa yang akan pastikan tender tu telus, harga vaksin tak mark up gila2, duit untuk be\xe2\x80\xa6'"
4/21/2021 23:59,1385020389311480000.00,Rina Fitriana,b'Sebab saat niy stok vaksin COVID - 19 yang ada di Kota Malang mulai menipis perlahan-lahan'
4/21/2021 23:59,1385020334017890000.00,Akbar_ltd,b'Ini lucu. Aku baru denger ini. Dia dapat darimana penjelasan itu? \nCak sih kasih tau. Kali2 ada dokselebtwit yg ngo\xe2\x80\xa6 https://t.co/vwlkjUTJF8'
4/21/2021 23:59,1385020313138830000.00,Nass,"b'RT @wankhairulnizam: Ni menakutkan. Parlimen tutup. Siapa yang akan pastikan tender tu telus, harga vaksin tak mark up gila2, duit untuk be\xe2\x80\xa6'"
4/21/2021 23:58,1385020241667790000.00,AK1F,b'RT @1Obefiend: Kita tiada kluster sepaj bola tetapi kita ada kluster sekolah.\n\nSaya tanya tuan puan semua. Siapa lebih penting diberikan su\xe2\x80\xa6'
4/21/2021 23:58,1385020233480430000.00,🇲🇾 TKohHock,"b'RT @limlipeng: Sabtu ni pejabat saya akan buka kaunter pendaftaran vaksin.\n\nBagi mereka yang belum daftar tu, meh saya bantu.\n\nnak tanya ma\xe2\x80\xa6'"
4/21/2021 23:58,1385020225016500000.00,Abg Kepek. 👨🏻‍🍳,b'RT @1Obefiend: Kita tiada kluster sepaj bola tetapi kita ada kluster sekolah.\n\nSaya tanya tuan puan semua. Siapa lebih penting diberikan su\xe2\x80\xa6'
4/21/2021 23:58,1385020211099620000.00,اڤن شمسودين,b'RT @SafirulAbuBakar: Berpeluang menemani ibu saya yg menerima dos pertama vaksin hari ini di Pusat Vaksinasi daerah Kota Setar yg bertempat\xe2\x80\xa6'
